Time used: 2.7929787635803223
         3288214 function calls (3255290 primitive calls) in 2.811 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7768    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
   507123    0.076    0.000    0.076    0.000 {method 'append' of 'list' objects}
    70553    0.019    0.000    0.019    0.000 {method 'copy' of 'dict' objects}
     4516    0.002    0.000    0.002    0.000 {method 'copy' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
       11    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       26    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      265    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      885    0.001    0.000    0.001    0.000 {method 'insert' of 'list' objects}
     3388    0.002    0.000    0.002    0.000 {method 'intersection' of 'set' objects}
   187321    0.035    0.000    0.035    0.000 {method 'items' of 'dict' objects}
       98    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
   223002    0.046    0.000    0.046    0.000 {method 'keys' of 'dict' objects}
   105523    0.021    0.000    0.021    0.000 {method 'pop' of 'dict' objects}
     1129    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
     1129    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
       11    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
   231898    0.065    0.000    0.065    0.000 {method 'remove' of 'list' objects}
      236    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       83    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      174    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
   254224    0.056    0.000    0.056    0.000 {method 'setdefault' of 'dict' objects}
     1258    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2258    0.003    0.000    0.003    0.000 {method 'union' of 'set' objects}
       68    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
     1239    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
